
 num     #instances         #bytes  class name
 345:            11            216  [Lsun.reflect.generics.tree.FormalTypeParameter;
 346:             9            216  com.intellij.util.io.IntToIntBtree$BtreeRootNode
 347:             9            216  com.intellij.util.io.PersistentEnumeratorBase$Version
 348:             9            216  java.io.StringWriter
 349:             9            216  java.net.URLClassLoader$3
 350:             9            216  java.util.logging.Level$KnownLevel
 351:             3            216  java.util.logging.Logger
 352:             9            216  java.util.regex.Pattern$Start
 353:             9            216  sun.misc.CompoundEnumeration
 354:             9            216  sun.reflect.generics.scope.ClassScope
 355:             9            216  sun.security.action.GetPropertyAction
 356:             9            216  sun.util.logging.PlatformLogger$Level
 357:             7            208  [Ljava.lang.invoke.LambdaForm$NamedFunction;
 358:            13            208  java.io.FilePermission$1
 359:             9            200  [Lsun.reflect.generics.tree.FieldTypeSignature;
 360:             5            200  java.lang.invoke.BoundMethodHandle$SpeciesData
 361:             5            200  java.util.EnumMap
 362:             5            200  java.util.stream.StreamOpFlag
 363:             2            192  [Lcom.sun.org.apache.xerces.internal.xni.QName;
 364:             9            192  [Ljava.lang.reflect.Type;
 365:             7            192  [Ljava.util.regex.Pattern$Node;
 366:             8            192  com.intellij.diagnostic.LoadingState
 367:             8            192  com.intellij.openapi.util.LowMemoryWatcher
 368:             8            192  com.intellij.util.io.PersistentHashMap$2
 369:             8            192  com.intellij.util.io.PersistentHashMapValueStorage$CreationTimeOptions
 370:             6            192  io.netty.buffer.PoolThreadCache$NormalMemoryRegionCache
 371:             3            192  java.lang.invoke.InvokerBytecodeGenerator
 372:             6            192  java.lang.invoke.LambdaForm$BasicType
 373:             8            192  java.lang.invoke.MethodHandleImpl$Intrinsic
 374:             4            192  java.util.Hashtable$Enumerator
 375:             6            192  java.util.Stack
 376:             6            192  java.util.jar.Manifest$FastInputStream
 377:             8            192  java.util.regex.Pattern$Slice
 378:             8            192  org.jetbrains.jps.incremental.BuilderCategory
 379:             4            192  sun.misc.URLClassPath
 380:            10            176  [Lsun.reflect.generics.tree.ClassTypeSignature;
 381:            11            176  com.intellij.util.io.ReadWriteDirectBufferWrapper$FileContext
 382:             7            168  java.net.Inet4Address
 383:             7            168  java.net.InetSocketAddress$InetSocketAddressHolder
 384:             7            168  java.net.NetPermission
 385:             7            168  java.util.Collections$SetFromMap
 386:             7            168  org.jdom.Content$CType
 387:             7            168  sun.net.www.protocol.jar.JarURLConnection$JarURLInputStream
 388:             2            160  [Lcom.intellij.util.containers.SLRUMap;
 389:             4            160  com.intellij.util.io.AppendableStorageBackedByResizableMappedFile$MyBufferedIS
 390:             4            160  io.netty.util.internal.ObjectPool$RecyclerObjectPool$1
 391:             4            160  java.lang.ClassLoader$NativeLibrary
 392:             5            160  java.lang.invoke.DirectMethodHandle$Special
 393:            10            160  java.lang.invoke.LambdaFormEditor
 394:            10            160  java.util.Collections$UnmodifiableSet
 395:             4            160  java.util.HashMap$ValueIterator
 396:             5            160  java.util.concurrent.atomic.AtomicIntegerFieldUpdater$AtomicIntegerFieldUpdaterImpl
 397:             5            160  java.util.logging.LogManager$LoggerContext$1
 398:             5            160  sun.reflect.annotation.AnnotationType
 399:             5            160  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 400:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type
 401:             1            152  io.netty.channel.nio.NioEventLoop
 402:             3            144  [Lio.netty.util.internal.PriorityQueueNode;
 403:             3            144  [Lorg.jetbrains.jps.incremental.BuilderCategory;
 404:             3            144  com.intellij.util.io.AppendableStorageBackedByResizableMappedFile$4
 405:             3            144  com.intellij.util.io.FileAccessorCache$1
 406:             9            144  com.intellij.util.io.PersistentBTreeEnumerator$1
 407:             9            144  com.intellij.util.io.PersistentBTreeEnumerator$RecordBufferHandler
 408:             9            144  com.sun.org.apache.xerces.internal.util.AugmentationsImpl
 409:             9            144  java.lang.Boolean
 410:             6            144  java.util.Collections$SynchronizedSet
 411:             3            144  org.jetbrains.jps.builders.java.dependencyView.IntIntPersistentMultiMaplet$1
 412:             6            144  sun.misc.PerfCounter
 413:             3            144  sun.nio.cs.StreamEncoder
 414:             6            144  sun.security.util.DisabledAlgorithmConstraints$Constraint$Operator
 415:             6            136  [Ljava.lang.reflect.TypeVariable;
 416:             1            136  [Ljava.util.List;
 417:             4            128  [Ljava.lang.Boolean;
 418:             2            128  [Lorg.jdom.AttributeType;
 419:             2            128  com.intellij.util.containers.ObjectLinkedOpenHashSet
 420:             4            128  com.intellij.util.io.AppendableStorageBackedByResizableMappedFile$MyDataIS
 421:             4            128  com.intellij.util.io.MappedFileInputStream
 422:             8            128  com.intellij.util.io.PersistentHashMap$$Lambda$41/2065857933
 423:             8            128  com.intellij.util.io.PersistentHashMap$1
 424:             8            128  com.intellij.util.io.PersistentHashMap$3
 425:             1            128  com.sun.org.apache.xerces.internal.impl.XMLEntityManager
 426:             4            128  io.netty.util.Recycler$DefaultHandle
 427:             2            128  io.netty.util.concurrent.ScheduledFutureTask
 428:             2            128  java.io.ExpiringCache$1
 429:             4            128  java.io.FileOutputStream
 430:             8            128  java.util.LinkedHashMap$LinkedEntrySet
 431:             4            128  java.util.LinkedHashMap$LinkedKeyIterator
 432:             4            128  java.util.RegularEnumSet
 433:             1            128  sun.nio.ch.WindowsSelectorImpl
 434:             1            120  [[Ljava.lang.String;
 435:             5            120  com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$State
 436:             5            120  com.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$State
 437:             3            120  java.lang.invoke.BoundMethodHandle$Species_LL
 438:             3            120  java.lang.invoke.DirectMethodHandle$Constructor
 439:             1            120  java.net.SocksSocketImpl
 440:             3            120  java.util.ServiceLoader$LazyIterator
 441:             5            120  java.util.concurrent.CopyOnWriteArrayList
 442:             5            120  java.util.concurrent.LinkedBlockingQueue$Node
 443:             5            120  java.util.regex.Pattern$Ctype
 444:             5            120  java.util.stream.StreamOpFlag$Type
 445:             5            120  org.jdom.Namespace
 446:             5            120  org.jetbrains.jps.incremental.GlobalContextKey
 447:             5            120  org.jetbrains.jps.incremental.ModuleBuildTarget
 448:             5            120  org.jetbrains.jps.incremental.ResourcesTarget
 449:             3            120  sun.misc.FloatingDecimal$BinaryToASCIIBuffer
 450:             5            120  sun.misc.FloatingDecimal$PreparedASCIIToBinaryBuffer
 451:             3            120  sun.misc.URLClassPath$2
 452:             5            120  sun.nio.fs.WindowsPathType
 453:             5            120  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 454:             5            120  sun.reflect.generics.tree.FormalTypeParameter
 455:             2            112  [Ljava.lang.invoke.MethodType;
 456:             2            112  [Ljava.nio.file.StandardOpenOption;
 457:             2            112  com.intellij.util.containers.ConcurrentIntObjectHashMap
 458:             1            112  io.netty.channel.socket.nio.NioSocketChannel
 459:             2            112  io.netty.util.Recycler$WeakOrderQueue
 460:             7            112  java.net.InetSocketAddress
 461:             1            112  java.util.GregorianCalendar
 462:             2            112  java.util.ResourceBundle$CacheKey
 463:             7            112  java.util.regex.Pattern$BranchConn
 464:             2            112  org.jetbrains.jps.api.CmdlineRemoteProto$Message
 465:             2            112  sun.security.provider.SHA
 466:             1            104  org.jetbrains.jps.builders.java.dependencyView.Mappings
 467:             2             96  [Lcom.android.tools.idea.jps.AndroidTargetBuilder;
 468:             2             96  [Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityManager$State;
 469:             5             96  [Ljava.lang.StackTraceElement;
 470:             3             96  [Ljava.security.ProtectionDomain;
 471:             4             96  [Lorg.jetbrains.jps.incremental.TargetBuilder;
 472:             3             96  com.intellij.util.containers.ConcurrentIntObjectHashMap$ForwardingNode
 473:             3             96  com.intellij.util.io.DataOutputStream
 474:             3             96  com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$NameMap
 475:             2             96  gnu.trove.TObjectLongHashMap
 476:             4             96  io.netty.util.Recycler$2
 477:             4             96  io.netty.util.ResourceLeakDetector$Level
 478:             2             96  java.lang.ThreadGroup
 479:             6             96  java.util.Collections$SingletonSet
 480:             3             96  java.util.LinkedHashMap$LinkedEntryIterator
 481:             2             96  java.util.ResourceBundle$BundleReference
 482:             3             96  java.util.ServiceLoader
 483:             2             96  java.util.StringTokenizer
 484:             4             96  java.util.concurrent.ConcurrentHashMap$KeySetView
 485:             4             96  java.util.regex.Pattern$1
 486:             4             96  java.util.regex.Pattern$BitClass
 487:             4             96  java.util.stream.StreamShape
 488:             2             96  org.apache.log4j.helpers.PatternParser
 489:             2             96  org.jetbrains.jps.api.CmdlineRemoteProto$Message$BuilderMessage
 490:             4             96  org.jetbrains.jps.api.CmdlineRemoteProto$Message$BuilderMessage$Type
 491:             2             96  org.jetbrains.jps.api.CmdlineRemoteProto$Message$UUID
 492:             4             96  org.jetbrains.jps.model.impl.JpsUrlListImpl
 493:             4             96  org.jetbrains.jps.model.java.JpsJavaClasspathKind
 494:             2             96  org.jetbrains.jps.model.java.impl.JpsJavaDependenciesEnumeratorImpl
 495:             4             96  sun.misc.JarIndex
 496:             1             96  sun.misc.Launcher$AppClassLoader
